Genename	UniProtID	Length	Hk	genelength
CELE_ZC132.11	A0A163VUD3	304	0	1997
CELE_R148.8	A0A679L8G9	61	0	661
sre-51	A3QMA8	351	0	1800
CELE_M01D7.9	A4UVM3	82	0	1376
C25F9.13	A5JYW5	224	0	1154
CELE_F52C12.6	B5WWL2	245	0	3049
CELE_F40G9.12	C3JXE5	190	0	938
ent-7	E1B6S1	461	0	4167
C16C8.22	G4S0D7	154	0	799
ark-1	G5EBZ8	1043	1	8931
sorb-1	G5EC32	1005	0	20164
CELE_ZK938.1	G5ECL6	327	0	1346
bc10	G5EE03	89	0	2336
lim-4	G5EEA1	355	0	4141
hhat-1	G5EFT7	519	0	2691
daf-10	G5EFW7	1192	0	9278
tag-10	G5EG67	473	0	4414
CELE_F11C1.10	G5EGN4	89	0	1433
C13C4.6	O01928	467	0	3365
fbxb-34	O02111	310	0	1310
CELE_F44E7.3	O16248	67	0	567
str-229	O16396	340	0	2061
C17F4.3	O16540	257	0	1238
fbxa-184	O16739	297	0	1158
srlf-19	O16949	146	0	577
srw-108	O16957	196	0	967
fbxb-39	O17228	270	0	867
aagr-4	O17352	903	0	6248
lips-11	O17375	288	0	2160
CELE_F33D11.1	O44778	131	0	939
CELE_T27E7.1	O45855	226	0	1240
CELE_T04D1.2	O61844	381	0	3191
let-413	O61967	699	1	4698
srbc-63	O62362	279	0	1292
clec-20	O76609	417	0	1757
CELE_H41C03.1	O76636	396	0	2754
ttbk-2.1	O76712	311	0	1307
kin-2	P30625	366	0	7207
pat-2	P34446	1226	0	6367
atp-2	P46561	538	1	2119
hsp-60	P50140	568	0	6061
T24H10.1	P52652	308	0	1198
F56F10.1	P90893	540	0	3345
CELE_T23G11.7	P90969	361	0	3597
C32B5.6	P91113	184	0	2193
C32E8.1	P91131	154	0	555
CELE_F54C1.8	P91325	214	0	1133
mrpl-24	P91353	278	0	1632
srab-21	P91473	330	0	1492
CELE_ZC239.14	P91561	223	0	908
mek-2	Q10664	387	1	8045
acs-7	Q17577	540	0	2016
C18F10.7	Q18099	582	1	2303
C26D10.3	Q18213	475	0	4268
C34D4.4	Q18449	205	0	1335
col-183	Q19111	316	0	1121
CELE_F26A1.1	Q19805	276	0	1403
pxn-1	Q1ENI8	1285	0	7553
CELE_F35D11.4	Q20034	174	0	734
tmed-10	Q20546	204	0	2999
CELE_F53F4.11	Q20720	543	0	2417
srh-16	Q20814	333	0	2335
rod-1	Q20849	2049	0	6875
CELE_F57C12.2	Q20940	281	0	2037
metl-18	Q21069	229	0	2356
CELE_K02E11.4	Q21140	133	0	648
CELE_T19D12.6	Q22574	779	0	6042
nlp-2	Q22739	171	0	819
CELE_T28C6.5	Q22846	303	0	1424
prp-39	Q22961	710	0	4032
apt-9	Q23165	588	0	3520
mtr-4	Q23223	1026	0	4926
ZK688.12	Q27GV2	173	0	890
erp-44.1	Q304D5	411	0	4078
CELE_ZK185.5	Q3V5H6	352	0	4225
crh-2	Q4JFH9	351	0	8543
CELE_T23B12.11	Q4R139	130	0	2213
CELE_Y54G2A.41	Q4R169	112	0	1595
CELE_VB0395L.1	Q566A9	340	0	3919
CELE_W01D2.6	Q7YTK2	72	0	218
srw-9	Q86D06	375	0	1952
btb-2	Q8IFY9	288	0	1156
algn-5	Q8WSL9	339	0	3822
CELE_Y45G5AL.1	Q8WTM0	275	0	3076
gst-14	Q93696	210	0	1319
tgs-1	Q94013	566	0	2706
paqr-1	Q94177	434	1	3013
CELE_ZK154.4	Q94313	203	1	5384
gos-28	Q95ZW1	234	0	1941
srh-34	Q966I4	333	0	1781
Y67D2.5	Q9BKR0	202	0	1773
CELE_Y23H5B.8	Q9N474	174	0	2013
msp-77	Q9TVW5	127	0	383
CELE_R160.6	Q9TZD2	77	0	862
rpl-43	Q9U2A8	91	1	275
CELE_F26D2.13	Q9XV59	247	0	876
str-78	Q9XWA2	339	0	3431
C17H12.6	V6CJ59	357	0	1441
sre-18	A0A067XG43	315	0	2062
CELE_T27A1.2	A0A0M7RFF2	342	0	6031
coh-1	A0A131MBD0	597	1	9825
CELE_H43I07.1	A0A168H995	275	0	5039
CELE_Y70G10A.4	A0A1D3PD11	79	0	716
C35E7.12	A0A2C9C2M9	41	0	125
CELE_M176.16	A0A2K5ATR2	10	0	-
bus-8a	A0A2K5AU30	94	0	996
cyh-1	A0A7R9SUL6	337	0	5580
mrpl-46	C0VXV6	265	0	3931
moa-1	C3JXD8	1238	0	6345
CELE_K01A6.8	D1MN73	112	0	338
CELE_F57G4.10	D9N149	145	0	1349
pqn-87	G2HK03	1485	1	15991
mes-1	G5EBL2	966	0	4895
osm-9	G5EBV8	937	0	6341
col-43	G5ED38	303	0	1208
CELE_Y66A7A.4	G5EDL8	479	0	3194
uggt-2	G5EF14	1381	0	9566
asd-2	G5EFF1	445	0	15084
CELE_K03B4.9	H2L021	322	0	1571
pod-2	H2L0M0	2165	0	15920
clec-206	O16285	471	0	3911
C09H5.7	O16334	333	0	1166
nhr-156	O16398	392	0	2346
sru-1	O17634	329	0	1754
CELE_F55B11.4	O17890	145	0	1348
haf-3	O17895	666	0	5717
srsx-39	O17960	311	0	1637
CELE_Y57G11A.5	O18219	110	0	621
rpl-20	O44480	180	1	655
CELE_F48G7.8	O44587	165	0	663
CELE_F14H3.12	O45370	142	0	1206
arrd-17	O45782	426	0	3752
C47F8.1	O62111	281	0	1570
CELE_Y45F10D.7	O62477	924	0	7346
gpa-11	O76584	363	0	8380
hpo-25	O76588	199	0	833
unc-29	P48181	493	0	3803
ucr-1	P98080	471	1	2266
chst-1	Q09272	329	0	1362
tdo-2	Q09474	403	0	2327
F15G9.5	Q10037	272	0	5656
nhr-2	Q10902	472	0	2660
C01B10.3	Q17543	402	0	1884
glr-4	Q17697	951	0	9222
chil-7	Q17839	482	0	1716
C10A4.4	Q17890	192	0	2517
fipr-8	Q17934	73	0	371
dpyd-1	Q18164	1059	0	4813
C34C12.8	Q18421	237	0	1184
acy-1	Q19523	1253	0	8824
CELE_F28C1.1	Q19854	672	0	2538
CELE_F42A10.7	Q20312	187	0	770
mkk-4	Q20347	363	0	2274
CELE_F48D6.4	Q20560	98	0	658
CELE_K01D12.1	Q21090	314	0	1378
srx-77	Q21170	313	0	1991
CELE_K08H2.5	Q21373	304	0	1302
CELE_M03C11.6	Q21485	300	0	2221
nhr-208	Q21805	410	0	1578
ttr-28	Q22035	149	0	961
CELE_T01C8.2	Q22065	80	0	1182
lgc-16	Q22083	401	0	2021
srlf-24	Q22237	202	0	1086
C37C3.11	Q22921	161	0	1310
C52B9.4	Q22938	558	0	3928
CELE_W03A5.2	Q23135	259	0	2072
CELE_Y57G11C.52	Q2EEL8	68	0	442
C31B8.16	Q4A575	265	0	2135
C17F4.12	Q4W523	119	0	515
tnt-2	Q7Z072	428	0	2004
ifd-1	Q86DC6	575	0	3745
CELE_K02C4.5	Q8I4H7	422	0	2412
CELE_K07C5.9	Q8MQ09	76	0	3505
clec-6	Q95QR9	407	0	1784
idpb-1	Q95QY1	166	0	695
CELE_Y66D12A.1	Q9BI35	236	0	2928
nhr-249	Q9GYF7	115	0	629
fbxa-86	Q9N2T1	301	0	1366
CELE_Y97E10AR.4	Q9N2U7	515	0	2217
CELE_Y38C1AA.6	Q9N430	332	0	1971
sesn-1	Q9N4D6	474	0	5561
lsy-2	Q9N5S3	365	0	3552
CELE_Y53F4B.5	Q9NAC4	144	0	1417
herd-1	Q9NEM5	718	0	2809
B0294.1	Q9TXP8	144	0	681
pck-3	Q9TYQ8	624	0	2471
C29F9.5	Q9TZB8	261	0	1404
Y48B6A.1	Q9U2A9	674	0	3333
athp-3	Q9U2U9	286	0	1963
CELE_T28A8.6	Q9XU04	627	0	2311
phy-3	Q9XUP0	318	0	5977
CELE_F59D12.3	Q9XUV6	318	0	2779
sre-22	Q9XV41	359	0	4135
acbp-5	Q9XVJ0	274	0	1795
CELE_Y75B8A.8	Q9XW73	715	1	10602
zipt-2.3	Q9XWH3	319	0	2973
sec-8	Q9XWS2	893	0	5418
CELE_Y38H6C.13	Q9XX48	79	0	1467
C41D11.3	A0A078BS72	921	0	15900
CELE_F22G12.5	A0A0K3AR51	2338	1	20234
CELE_F22H10.11	A0A0K3AT95	49	0	364
syd-9	A0A5E4M3Q4	554	0	8732
CELE_Y47G6A.19	A0A7R9SW65	509	0	6649
CELE_F49H6.17	A8WI16	78	0	236
CELE_F14H8.8	B1Q269	88	0	714
C39B5.14	C2BR92	329	0	5710
C18H7.6	D0IMZ1	533	0	3450
clec-27	G5EC88	363	0	1690
dmd-10	G5EEJ1	348	0	14491
hot-1	G5EF85	218	0	8337
rrf-2	G5EFA8	1579	0	7448
CELE_F20C5.6	G5EFF2	348	0	1646
aff-1	G5EGL9	589	0	3170
helq-1	H2KY86	923	0	9425
wdr-62	H2L0C5	1657	0	16621
cas-2	O02096	457	0	2971
pigv-1	O02164	672	0	2690
pqn-27	O02238	534	0	11807
CELE_F40A3.1	O16267	186	0	3988
srt-68	O16494	280	0	1512
CELE_K02F6.7	O16628	512	0	12635
CELE_F13A2.1	O16896	68	0	778
CELE_Y57G11A.4	O18222	262	0	4169
fbxb-78	O44475	333	0	1304
sri-73	O44676	313	0	1693
srh-99	O44715	347	0	1555
cest-4	O45083	592	0	3426
srh-118	O45651	352	0	1865
srh-295	O45990	319	0	2160
ekl-5	O62418	453	0	2365
spe-47	O76615	380	0	2901
rgs-1	P34295	201	0	2370
apx-1	P41990	515	0	13025
gst-6	P91252	206	0	1214
CELE_F59A3.12	P91357	294	0	1374
CELE_F59A3.10	P91362	117	0	-
srw-136	P91385	378	0	1661
ZK370.6	Q02333	164	0	-
F10B5.2	Q09305	357	0	2474
rnh-1.1	Q09633	507	0	2501
nep-5	Q09946	694	0	2494
F46H5.3	Q10454	396	0	7957
attf-4	Q11178	529	0	4185
C04G6.5	Q17638	59	0	338
C06E8.5	Q17738	579	0	3150
C14E2.1	Q17987	133	0	888
wdr-60	Q18263	668	0	4241
C29F4.3	Q18304	390	0	1966
cdr-3	Q18832	278	0	1019
CELE_D1053.3	Q18940	265	0	7575
CELE_F07H5.10	Q19174	334	0	1441
sto-1	Q19200	330	0	1990
srsx-32	Q19607	302	0	1492
clec-180	Q19970	896	0	4873
CELE_F36H1.3	Q20108	532	0	2373
CELE_F56C9.3	Q20864	446	0	1929
nspg-6	Q20865	237	0	1828
srd-49	Q21705	337	0	1728
chil-22	Q21866	450	0	1727
T03G11.3	Q22122	322	0	3142
CELE_T07D1.3	Q22303	144	0	434
him-17	Q22360	954	0	3474
otpl-6	Q22977	581	0	2506
CELE_K11H12.10	Q4PIS5	81	0	633
C36C9.6	Q4R107	141	0	955
ugt-35	Q52GY8	536	0	2270
srbc-36	Q5F4V0	297	0	1307
gcy-37	Q6DNF3	708	0	8522
CELE_F31B9.4	Q7YTN5	181	0	1401
sre-36	Q7YTN8	350	0	1937
B0457.6	Q7YX77	165	0	1945
glb-24	Q8MPY8	322	0	3927
CELE_K10D3.6	Q8WQE3	108	0	326
mina-1	Q93367	393	0	1710
plp-1	Q94230	226	1	1293
CELE_R144.11	Q95QB7	307	0	1737
C49H3.6	Q95QQ9	552	0	3357
CELE_ZK1240.9	Q95X87	216	0	1945
CELE_Y69A2AR.18	Q95XJ0	299	1	1940
fbxa-66	Q95XK8	313	0	4243
madf-1	Q9N352	256	0	1538
bath-21	Q9N5Q1	270	0	11723
CELE_Y71A12B.8	Q9NEN9	355	0	3206
mtm-5	Q9TXP3	1744	0	8739
CELE_M57.1	Q9TYX9	665	0	6598
CELE_Y46G5A.18	Q9U2F1	375	0	4841
CELE_K10H10.6	Q9XU55	321	0	1622
fbxa-100	Q9XU99	346	0	1567
CELE_W05H5.1	Q9XVG1	320	0	1660
lury-1	Q9XW71	89	0	3705
lron-12	Q9XW74	398	0	3916
btb-14	Q9XWH8	316	0	1229
ptr-18	Q9XWL9	895	0	12625
dyf-19	Q9XWN2	534	0	5712
nhr-8	Q9XYB7	560	0	3227
CELE_Y76B12C.6	U4PBZ1	554	0	11668
CELE_Y77E11A.14	U4PEX8	160	0	1564
CELE_K04A8.20	U4PMY0	114	0	344
srj-52	A0A0K2WN07	180	0	688
mom-5	A0A0K3AWM6	570	0	4463
trpp-11	A0A131MD37	1090	0	14301
CELE_Y72A10A.1	A0A1C3NSM7	242	0	8809
fbxb-93	A0A3P6PCM3	289	0	1162
CELE_T08D2.5	A4F322	325	0	2019
C16D2.1	A5PEX0	194	0	2883
lotr-1	A5Z2T6	855	0	3320
CELE_Y57G11C.1147	A5Z2X2	74	0	1092
CELE_Y43F8B.23	D0IN07	239	0	2502
amx-3	E0AHD3	450	0	4874
lipl-6	E2S7J2	591	0	2837
clec-262	G5EBP6	333	0	3809
exo-3	G5EBR7	288	0	1755
CELE_F09B12.5	G5EBV9	384	0	3590
kin-5	G5EC46	533	0	2104
CELE_T06D8.10	G5ECK5	1490	0	6582
CELE_F13A7.14	G5ECN0	299	0	3457
sulp-2	G5EDS5	652	0	3543
CELE_F10G8.8	G5EE23	984	0	11341
CELE_ZK1098.11	G5EE42	100	0	854
lpr-2	G5EEB8	1076	0	7759
CELE_ZK1128.7	G5EF99	205	0	2118
rict-1	G5EFN2	1580	0	18571
vps-52	G5EFV8	702	0	2822
scrm-3	G5EG07	251	0	1358
fkh-8	H2KZ39	328	0	1770
nhr-88	H2KZA1	593	0	10384
CELE_F47B7.2	H2KZY5	678	0	5319
nhr-217	O02305	383	0	1681
cyp-33c3	O16670	500	0	2087
str-112	O16913	346	0	2093
srg-47	O17699	309	0	1307
gtf-2h1	O44499	532	0	6334
plx-2	O45657	1785	0	7036
CELE_Y6E2A.1	O45971	307	0	923
npr-33	O62189	399	0	3840
syx-18	O76413	415	1	1836
C05B5.2	P34290	185	0	709
vha-14	P34462	257	0	1657
deg-3	P54244	564	0	2289
pup-3	P91361	482	0	4035
pbs-4	P91477	199	1	-
CELE_W08E3.4	P91915	267	0	1501
C28H8.3	Q09475	1714	1	6029
CELE_W01A8.2	Q09EE9	143	0	2697
pho-5	Q10944	422	1	1972
dhs-27	Q11177	816	0	-
B0024.3	Q17419	254	0	1732
C05C12.5	Q17648	149	0	773
C08F8.2	Q17828	719	0	3337
C09G1.4	Q17865	545	0	18663
C09G9.5	Q17875	199	0	2039
hlh-27	Q18056	268	0	1138
cpb-2	Q18317	570	0	2386
mls-2	Q18533	341	0	2836
C39E9.7	Q18544	498	0	4059
dsb-3	Q18649	345	0	2117
C49C8.1	Q18707	502	0	2253
mxl-3	Q18711	235	0	1165
C53B4.2	Q18796	442	0	1815
grl-4	Q20327	210	0	922
rab-33	Q20365	307	0	3509
sra-11	Q20411	334	0	1511
kin-20	Q20471	497	0	9162
gsnl-1	Q21253	475	0	2334
lin-14	Q21446	539	1	20311
CELE_M03D4.4	Q21494	505	0	5529
pha-2	Q21578	214	0	3625
mrps-34	Q21601	228	0	1032
kars-1	Q22099	572	0	2232
ttr-15	Q22288	130	0	1593
ttr-53	Q22500	148	0	936
otpl-7	Q22976	627	0	3175
CELE_W04D12.1	Q23154	85	0	257
CELE_ZK402.2	Q23479	109	0	373
rbr-2	Q23541	1477	1	6747
CELE_F38B6.8	Q4PIW2	406	0	1882
CELE_K10G6.5	Q4W519	113	0	936
srz-85	Q5F4U1	329	0	1975
C11H1.9	Q5WRP2	421	0	2192
srh-299	Q7YXC0	333	0	1116
srg-38	Q86GC0	306	0	3320
CELE_T13F2.4	Q94047	287	0	2181
ergi-1	Q95XJ9	286	0	3404
srt-31	Q966H5	326	0	1742
CELE_R144.10	Q9BI75	200	0	1034
CELE_Y71G12A.4	Q9BL52	468	0	9749
CELE_Y54G2A.15	Q9N3B8	157	0	779
cyp-31a3	Q9N574	495	0	1836
C53D5.5	Q9N5V4	642	0	4979
dmd-8	Q9TXN8	369	0	1849
tsen-54	Q9TXV5	335	0	5126
polg-1	Q9U208	1072	0	10173
hphd-1	Q9U2M4	465	0	2217
oct-1	Q9U539	585	0	3867
clec-99	Q9XUH9	226	0	2105
pqn-32	Q9XV50	592	0	2150
C03C11.1	Q9XVT6	199	0	948
CELE_Y54G2A.7	U4PB15	164	0	824
CELE_Y55F3BR.6	A0A1I6CMC9	253	0	7093
gck-4	A0A4V0IKG6	1232	0	5148
glb-5	A3RMS5	397	0	5373
vkmt-1	A7IQW5	206	0	820
ttr-57	A8DZ50	89	0	1342
spds-1	B4E3X6	366	0	3973
C42D4.18	E7EM24	168	0	1147
ego-1	G5EBQ3	1632	0	5997
zmp-3	G5EBU3	579	0	3858
pik-1	G5ECP4	485	0	6350
asp-1	G5EEI4	396	0	1190
skr-13	G5EEX4	172	0	518
CELE_T25B9.3	G5EF20	263	0	3626
CELE_F26G1.2	H2KZ20	151	0	1099
svh-2	H2KZU7	1086	1	10920
CELE_Y43F8C.6	H8ESF1	427	0	7868
C04C3.14	I2HAC2	63	0	652
CELE_Y2H9A.6	L8EC29	301	0	1220
CELE_F02E9.1	O01314	154	0	817
cdc-7	O01493	411	0	2169
dct-9	O01778	183	0	1213
CELE_F23B2.7	O02249	276	0	1571
ugt-64	O16322	501	0	3272
srj-39	O16348	331	0	1646
str-40	O16473	331	0	1066
hpo-19	O16521	309	1	1239
nhr-130	O16963	440	0	2525
srh-36	O16978	346	0	2087
C24H12.6	O17158	208	0	1533
CELE_F01G10.10	O17768	562	0	3625
sra-20	O17844	339	0	1656
clpr-1	O18165	252	0	1537
rps-18	O18240	154	1	798
srh-241	O45164	335	0	1811
fbxa-18	O45336	187	0	1995
CELE_K04B12.2	O45656	420	0	3553
CELE_K10H10.9	O45683	145	0	1926
wts-1	O45797	908	0	6057
C06C6.9	O62036	106	0	584
ipmk-1	O62519	297	0	6557
R107.2	P32740	307	0	2052
gop-1	P46578	892	0	4448
CELE_F36A2.7	P90860	167	1	1218
cwp-1	P91138	108	0	662
CELE_F07C4.6	P91208	204	0	933
CELE_T23B3.1	P91492	389	0	1609
inx-20	P91827	483	0	4520
cest-1.2	P92016	676	0	3199
CELE_M106.3	Q0G840	373	1	3467
rsp-5	Q10021	208	0	1175
B0304.2	Q10932	218	0	967
C01C4.3	Q11090	407	0	16496
C28G1.2	Q18287	265	0	2109
C44B7.7	Q18596	188	0	982
tpra-1	Q18936	458	0	9045
rpl-26	Q19869	142	1	796
CELE_F31E8.4	Q19936	162	0	1043
CELE_F31E8.5	Q19938	472	0	2244
idhg-1	Q20049	396	1	3068
CELE_F40F8.4	Q20226	195	0	836
drd-1	Q20611	269	0	1840
CELE_R12C12.6	Q21960	261	1	1581
CELE_T01C8.3	Q22064	310	0	3087
acl-2	Q22267	282	0	2942
nhr-272	Q22298	334	0	1457
CELE_ZK813.1	Q23606	145	0	624
slc-5a12	Q23616	577	0	3488
CELE_F56D6.11	Q4R115	126	0	380
CELE_F49A5.10	Q564U1	73	0	878
zipt-2.1	Q6BEU0	363	0	2596
CELE_F10D7.5	Q7JP67	617	0	8490
C35B8.3	Q7JPI4	485	0	2952
CELE_K01F9.2	Q7YTL1	259	0	7029
CELE_E02A10.4	Q8I4L7	95	0	1934
del-8	Q93205	553	0	6290
ttr-31	Q93805	148	0	786
CELE_F57F4.2	Q94244	231	0	695
cal-3	Q94288	234	0	5672
fbxa-25	Q95XB2	172	0	1542
ddx-27	Q95XM9	739	1	22270
eif-2gamma	Q95XR0	469	1	2721
CELE_Y42H9AR.5	Q95XZ8	119	0	1792
comt-3	Q965W3	226	0	3599
trpp-8	Q9BI63	1282	1	6028
CELE_F48E3.9	Q9GPA4	611	0	4157
