Genename	UniProtID	Length	Hk	genelength
Acsx4	Q9VDU0	539	0	1997
CG7696	Q9VE54	1784	1	9188
Non3	Q9VEB3	320	1	1220
Brf	Q9VEL2	662	1	16504
beat-IIb	Q9VEL7	407	0	32796
Dmel\CG17562	Q9VES7	499	0	1845
Dmel\CG4338	Q9VFA0	274	1	952
E5	Q9VFQ3	524	0	7571
Dmel\CG3916	Q9VGB8	267	0	1012
Dmel\CG6962	Q9VGH0	767	0	2832
Pkd2	Q9VK95	924	0	3749
Tmem214	Q9VKM7	677	0	5370
Dmel\CG18301	Q9VKT8	422	0	1826
Utx	Q9VL07	1136	1	6486
Dmel\CG13113	Q9VLB0	205	0	704
Uba4	Q9VLJ8	453	1	1765
CG4502	Q9VM35	306	1	9356
cup	Q9VMA3	1117	0	11116
Dmel\CG9150	Q9VMH9	251	0	926
Dmel\CG7742	Q9VMT4	509	0	2686
TwdlG	Q9VMZ6	278	0	2618
Dmel\CG14668	Q9VNB1	270	0	947
Acbp5	Q9VSP9	82	0	401
Dmel\CG18180	Q9VT25	264	0	900
shd	Q9VUF8	540	0	7747
Tasp1	Q9VUX9	365	1	2304
SREBP	Q9VW37	1113	1	5044
Cyp305a1	Q9VW43	504	0	2936
Elys	Q9VWE6	2111	1	7102
Dmel\CG12231	Q9VWH2	183	0	710
Arp8	Q9VX09	607	0	2421
CG8188	Q9VX25	209	0	4107
Dmel\CG8952	Q9VXP8	276	0	975
CT34848	Q9VZI4	454	0	8913
GC	Q9W0C4	672	0	6122
Zfrp8	Q9W1A3	347	1	1416
Dmel\CG12111	Q9W3D8	188	0	740
Dmel\CG12123	Q9W3F5	218	1	1101
CHOp24	Q9W4K0	208	1	1598
Dmel\CG14421	Q9W4U6	238	0	921
Mcm3	Q9XYU1	819	0	2883
sip1	Q9Y103	839	0	2893
anon-WO0172774.24	Q9Y114	656	1	2542
Myo81F	A0A0A1EI90	2082	0	1965856
SPH73	A0A0B4K687	281	0	1021
CG31149	A0A0B4K760	1188	0	48892
LRR	A0A0B4KEE7	1486	0	22362
Dmel\CG42326	A0A0B4LEX9	1376	0	11411
Mppe	A0A0B4LF50	366	0	2093
Dmel\CG12869	A0A6M3QH83	839	0	4414
side-II	A0A9F2H0X3	1067	0	-
Dmel\CG34251	A1A716	185	0	11959
Dmel\CG33477	A1Z885	198	0	596
Dmel\CG30056	A1Z923	137	0	595
mRpL53	A1Z9J6	155	0	1469
Dmel\CG5757	A1ZB29	211	0	1177
38C.42	A4V0X6	404	0	29507
Elo68beta	A8JNR0	269	0	1023
Dmel\CG4820	A8JQX6	362	1	1363
Sfp33A3	E1JHG2	99	0	417
CG43054-RA	F3YD67	136	0	530
Dmel\CG42654	M9MRW9	161	0	732
Dmel\CG43147	M9NFS2	44	0	311
Dmel\CG43181	M9NGF1	128	0	567
RpL15	O17445	204	1	1190
CG1307	O97067	186	1	1412
Abd-B	P09087	493	0	45024
trp	P19334	1275	0	5768
Ggamma1	P38040	70	1	3387
eIF2beta	P41375	312	1	1638
Taf11	P49906	196	1	838
Klf15	Q0IGQ2	311	0	1031
Cp110	Q2PDW6	666	1	5376
Dmel\CG11788	Q4V3Z5	425	0	1545
Dmel\CG13323	Q4V4H7	112	0	2561
lectin-30A	Q6GV06	223	0	778
Dmel\CG34292	Q6IJ53	195	0	843
Dmel\CG34247	Q6IL43	83	0	420
boly	Q7JVN4	255	0	1138
Dmel\CG13326	Q7JYM7	867	0	2944
Dmel\CG2310	Q7JZY1	251	1	1994
Jheh2	Q7KB18	463	0	2478
pip	Q86BJ3	514	1	38986
ppk6	Q86LH3	498	0	1864
CG8775	Q8INH6	1025	1	10137
Dmel\CG31627	Q8INU1	262	0	957
Dmel\CG32727	Q8IRP6	122	0	646
Coq9	Q8MKN0	326	1	4248
Coq10	Q8MLL3	242	1	1052
Fancd2	Q8MYL1	1478	0	5386
Idgf5	Q8T0R7	444	0	1616
Reg-5	Q94913	288	1	5402
Hsp70Bb	Q9BIS2	641	0	2346
CG17837	Q9I7I3	293	0	1069
Dmel\CG15255	Q9V445	261	0	1548
Cyp9b2	Q9V4I1	505	0	1862
Cyp6w1	Q9V9L1	514	0	2511
BcDNA:RE07994	Q9V9U9	207	1	964
Dmel\CG15544	Q9VA34	851	0	14215
Slbp	Q9VAN6	276	1	1192
mrt	Q9VB49	775	1	5412
TwdlL	Q9VBD9	285	0	1065
Dmel\CG10550	Q9VBS7	425	0	1984
eIF1A	Q9VEA1	148	1	8340
Mic26-27	Q9VEY5	226	1	2454
UQCR-C1	Q9VFF0	470	1	2156
Dmel\CG14370	Q9VFU3	132	0	728
GstD5	Q9VG95	216	0	839
Cyp12e1	Q9VGZ0	522	0	1915
Invadolysin	Q9VH19	683	1	14466
Vps45	Q9VHB5	574	0	2168
Hykk	Q9VJ68	417	1	6494
fws	Q9VJD3	751	1	2587
BG:DS04862.2	Q9VJP0	146	0	1657
Pect	Q9VK25	393	0	7066
RpL7-like	Q9VKC1	257	1	1925
Lip2	Q9VKR5	413	0	7513
LManIV	Q9VLI1	978	0	3185
Dmel\CG13998	Q9VMK7	97	0	330
Ddx1	Q9VNV3	727	1	2648
ICA69	Q9VP78	411	0	1864
Nubp2	Q9VPD2	260	1	1334
Obp19b	Q9VR95	163	0	1079
CG10727	Q9VRR3	241	0	1512
Dmel\CG7376	Q9VRV2	1270	0	4693
Dmel\CG16998	Q9VS86	258	0	776
ValRS-m	Q9VSR7	994	0	3495
emei	Q9VTF5	496	1	2427
Fum3	Q9VTI5	470	0	2294
Liprin-beta	Q9VU88	680	1	3022
EAChm	Q9VUK1	211	0	788
Dmel\CG4306	Q9VVP9	220	0	1206
Dmel\CG18294	Q9VVZ7	141	0	561
CG32583	Q9VXT6	212	0	1769
Pdcd4	Q9VY91	509	0	9829
BcDNA:GH03108	Q9W0X8	540	1	1817
NaCP60E	Q9W0Y8	2844	0	30063
anon-WO0140519.253	Q9W170	404	0	1514
anon-WO0140519.111	Q9W172	391	0	1339
Taldo	Q9W1G0	331	1	1704
CT21430	Q9W4G1	524	0	1921
Nulp1	Q9Y109	702	1	3038
Dmel\CG15365	X2JD14	828	0	13285
Dmel\CG42835	A0A0B4JDA6	108	0	351
Dmel\CG43448	A0A0B4K6U8	94	0	640
HP1Lcsd	A0A0B4K7M5	83	0	837
Acsl	A0A0B4KFE4	728	0	17209
Dmel\CG45079	A0A0B4LHJ2	89	0	309
Obp85a	A0A1Z1CGZ7	180	0	775
HGTX	A0A6J3T5M5	587	0	16318
Dmel\CG34316	A1A6X9	267	0	1101
Dmel\CG8248	A1Z7K4	227	0	1428
Rme-8	A1Z7S0	2408	1	9498
Prx6b	A1Z892	220	0	1035
Cap-G	A1Z987	1351	0	9678
fest	A1ZBJ8	513	0	3945
Dmel\CG46281	A8JQZ1	234	0	1387
Hayan	A8JUP7	637	1	3789
sloth2	B7Z0X7	61	0	780
BcDNA:LD21969	B9A0M7	543	0	2979
eIF4EHP	E1JIV5	248	0	45883
CG42688-RA	F0JAR8	50	0	845
nuf	M9ND89	541	0	42380
Dmel\CG12688	M9NFW1	94	0	-
Dmel\CG7420	M9PAZ8	388	0	2120
CG12508	M9PDT0	568	0	48598
Phm	O01404	365	1	3280
Acp33A	O46227	47	0	339
C3G	O77086	1571	1	22803
Nurf-38	O77460	338	1	2120
ND-B14.5A	O97418	103	1	906
tin	P22711	416	0	2993
Rpn3	P25161	494	1	1891
tud	P25823	2515	1	9591
flw	P48462	330	1	23857
Obp69a	P54191	148	0	786
g	P54362	1034	1	9074
BobB	P83263	78	0	601
r-l	Q01637	493	1	2762
Etfb	Q0KHZ6	253	1	1346
stnA	Q24211	850	0	23926
BP1015	Q2PE19	281	0	1050
Cnep1r1	Q5LJU1	123	0	1018
Dmel\CG34167	Q6IHC3	127	0	660
BEAF-32	Q7JN06	283	0	2161
BcDNA:RE25177	Q7JWN2	76	0	392
Dmel\CG10927	Q7K157	360	0	1165
Obp51a	Q7KE33	117	0	464
mei-W68	Q7KPA5	331	0	3353
p120ctn	Q7PLI0	781	0	14204
CG18546	Q86B99	893	0	4358
ppk16	Q86LG7	531	0	3875
d3635	Q8IP91	564	0	2401
Ada1-1	Q8IP99	308	0	1156
Dmel\CG32808	Q8IRX5	284	0	1124
Atg1	Q8MQJ7	855	0	20687
Gmppa	Q8SXU3	438	1	1738
Adk1	Q8T3U8	396	0	1532
Atu	Q94546	725	1	2581
Dmel\CG10793	Q9V3N5	479	0	1658
ProtA	Q9V3S3	146	0	2602
Tollo	Q9V477	1346	0	7213
CG11578	Q9V4B6	1459	1	9270
Sin1	Q9V719	569	1	2026
CG9708	Q9VA52	536	0	4267
LP23408p	Q9VAU3	346	0	1306
tau	Q9VB15	717	0	17110
eater	Q9VB78	1074	0	3812
GILT3	Q9VCK2	216	1	1063
Ugt303B1	Q9VCL4	519	0	1810
Dmel\CG4408	Q9VCM8	479	0	1685
Dmel\CG7084	Q9VD40	597	0	5615
Sf3a1	Q9VEP9	784	1	2971
Dmel\CG6901	Q9VEW9	485	0	1713
Cyp304a1	Q9VG17	510	0	2132
d-cup	Q9VG22	219	0	1202
RnpS1	Q9VHC0	374	1	1713
sNPF	Q9VIQ0	281	0	28458
Dmel\CG10211	Q9VJ80	1394	0	14480
piwi	Q9VKM1	843	0	5215
wol	Q9VLQ1	326	1	1640
Spn28F	Q9VLQ7	375	0	1386
Dmel\CG17378	Q9VM87	610	0	4403
dsf	Q9VML1	691	0	13324
Or83a	Q9VNB3	453	0	1553
Dmel\CG17637	Q9VPD9	504	0	1514
SP170	Q9VT23	259	0	909
Cpr67Fa1	Q9VTC6	134	0	710
Adk2	Q9VU38	345	0	2973
PDCD-5	Q9VUZ8	133	1	957
serp	Q9VW34	541	1	7038
BcDNA:RE31307	Q9VWD7	106	1	1273
Dmel\CG7058	Q9VWP9	1062	0	5308
Dmel\CG6340	Q9VXU3	513	0	4238
fne	Q9VYI0	356	0	32940
Dmel\CG7465	Q9VZB4	321	0	1204
Tecr	Q9VZL3	302	1	1543
mRpS29	Q9W253	392	1	1439
ND-B12	Q9W2E8	110	1	699
Dmel\CG10761	Q9W3I6	323	0	1252
Dmel\CG3568	Q9W4J9	508	0	1867
anon-EST:Posey113	Q9W4R9	436	1	1590
H48C10.1	Q9W4Z6	259	0	1469
Dmel\CG42694	A0A0B4JD89	512	0	3270
Syt14	A0A0B4KF61	648	0	4614
ear	A0A0B4KG69	945	0	4523
Teh1	A0A0B4KGN9	299	0	42039
Octalpha2R	A0A0B4KHD0	740	0	49944
Dhc93AB	A0A0B4KHJ4	4496	0	17919
pre-mod(mdg4)-AA	A0A126GV02	85	0	2657
Dmel\CG46443	A0A6M3QAV0	161	0	808
Cpr47Ec	A1Z8H4	131	0	870
Dmel\CG8778	A1Z934	299	1	1186
tmem208	A1ZA77	174	0	1299
RhoGAP54D	A1ZAW3	1004	0	4459
CG15123	A1ZBN7	93	0	740
Dmel\CG15387	A8DYT6	116	0	749
Dmel\CG42692	B8A402	148	0	719
tal-1A	C0HJX4	11	0	1539
Sfp33A2	C9QPH0	50	0	336
pcm	E1JJR3	1613	0	6252
Dmel\CG32718	M9PHC0	261	0	1165
qkr58E-3	O44434	317	1	2337
Mkk4	O61444	424	1	4624
Arpc1	O97182	377	1	1800
usp	P20153	508	0	3513
Cyp1	P25007	227	1	2697
Act88F	P83967	376	0	2208
sas	Q04164	1693	1	20894
Sb	Q05319	787	0	29123
Dbp45A	Q07886	521	1	1968
Dmel\CG42259	Q0KHX4	92	1	785
Dmel\CG33664	Q2MGP7	160	0	679
Ctf4	Q494K2	895	0	2955
Acp24A4	Q4V621	78	0	721
Pgant1	Q6WV20	601	1	3887
Tsp42Ef	Q7K010	220	1	3072
Strica	Q7KHK9	527	0	2833
nompB	Q7KRS6	857	0	11131
Dmel\CG31827	Q7KT71	294	0	1049
isoQC	Q86PD7	354	1	2537
CG13657	Q8IMT6	422	0	1604
NEST:bs21e09	Q8INZ7	140	0	964
Dmel\CG32829	Q8IPI9	234	0	864
Dmel\CG11227	Q8IQ43	764	0	2587
tut	Q8IQA2	230	0	1166
Art8	Q8SX32	341	0	1265
slf	Q8SZK9	231	1	5323
Lcp65Ag3	Q9I7Q6	105	0	603
Dmel\CG16890	Q9V3M2	258	1	2107
ukar	Q9V4A0	910	1	11317
Obp99c	Q9VAI9	151	0	3575
PolA2	Q9VB62	609	0	2065
Dmel\CG6356	Q9VCA0	570	1	4662
Gr93a	Q9VD76	419	0	1510
Snmp1	Q9VDD3	551	0	3038
BcDNA:RE19820	Q9VEH7	137	0	588
Dmel\CG9624	Q9VFL8	289	0	1127
apn	Q9VFX3	137	0	1158
GstD9	Q9VGA0	218	1	1401
I-t	Q9VGJ2	184	0	886
Dmel\CG12818	Q9VH00	288	0	1114
Dmel\CG12420	Q9VH13	240	0	1047
Dmel\CG16779	Q9VHD1	2005	0	32593
SmydA-3	Q9VKN9	507	0	4463
Cand1	Q9VKY2	1248	1	4573
Dmel\CG17906	Q9VLF7	275	0	1226
cl	Q9VMQ9	126	1	1247
Dmel\CG10979	Q9VNI5	959	1	5289
Osi12	Q9VNN2	295	0	3964
Syn1	Q9VNY2	627	0	25175
erm	Q9VQ56	611	1	20123
wap	Q9VR53	343	1	3977
Eaf6	Q9VRN3	225	1	1138
Dmel\CG7550	Q9VSD8	240	1	919
anon-WO0140519.185	Q9VSF5	389	0	1339
Dmel\CG5653	Q9VSR8	476	0	1462
Dmel\CG14153	Q9VTA8	237	0	1087
Pbgs	Q9VTV9	327	1	1893
Dmel\CG4328	Q9VTW3	544	0	5167
nst	Q9VTZ4	549	1	2956
CG11263	Q9VU31	265	0	1064
Nplp2	Q9VU58	86	1	847
Dmel\CG13482	Q9VUE1	102	0	539
Dmel\CG14187	Q9VW79	126	0	582
Dmel\CG7365	Q9VW80	424	0	3083
Abcd3	Q9VWC8	665	1	8510
Dmel\CG4318	Q9VYG4	236	0	1463
BcDNA:LP01642	Q9VYV6	114	0	990
e(y)2	Q9VYX1	101	1	502
SPH97	Q9VZI5	322	0	1137
CG14972	Q9VZP0	1037	0	38448
scramb2	Q9VZW1	263	1	2699
cg10384	Q9W249	492	0	18254
Dmel\CG2889	Q9W2U6	581	1	3263
ATPsyndelta	Q9W2X6	157	1	4423
sni	Q9W3H4	247	1	2515
Dmel\CG2059	Q9W3R8	308	0	1759
Dmel\CG14634	Q9W5C8	93	0	592
Rif1	Q9XZ34	1416	0	4838
CG4766	Q9Y106	368	0	3289
ebo	X2J9Y4	1054	0	5560
Dmel\CG45691	X2JEG0	70	0	462
CG11625	A0A0B4KGY8	254	0	47622
Cph	A0A499JF18	1254	0	104209
ana3	A1Z8X3	1977	0	6342
Sdb	A1Z9M5	4012	0	13164
Dmel\CG41562	A8QI32	213	0	832
BBIP1	E1JIG6	76	0	3472
RYa	G5CKU5	109	0	419
Dmel\CG43090	M9NFY9	169	0	675
Tsp5D	M9PDV2	287	0	5726
anchor	M9PFK5	957	0	9147
Dmel\CG43954	M9PFX3	118	0	35271
Hsp60A	O02649	573	1	3826
mt:CoIII	P00417	262	0	788
term	P11455	428	0	1468
E(spl)m8-HLH	P13098	179	0	768
mex1	P23487	83	0	2168
RYa-R	P25931	464	0	60955
zetaTry	P42280	280	0	946
Obp83a	P54193	154	0	3090
CycE	P54733	709	0	20569
Trxr1	P91938	596	0	5505
Acp65Aa	P91941	105	0	695
fd59A	Q02361	456	0	2547
Snrk	Q0E981	860	1	3916
Iswi	Q24368	1027	0	3957
Dmel\CG43996	Q4V3L3	327	0	1066
kl-2	Q5LJP0	4459	0	91085
CG34210-RA	Q6IGY0	94	0	626
lectin-46Cb	Q7JY62	322	0	1090
Dmel\CG8067	Q7K1S1	333	1	1498
DCTN2-p50	Q7K2D2	380	1	1507
FASN3	Q7PLB8	2394	0	9920
pan	Q8IMA8	1192	0	44944
CAH4	Q8IMV4	279	0	1176
TotC	Q8IN43	129	0	592
Dmel\CG13743	Q8MRD1	528	0	15758
Dmel\CG33217	Q8MS38	699	0	6184
pxb	Q8MY02	636	0	24330
Cpr65Eb	Q8MZ06	179	0	1074
bai	Q8SXY6	206	0	1069
CG32270-RA	Q8SYS8	332	0	2036
Afg3l2	Q8T4G5	826	1	3515
Cyp18a1	Q95078	538	0	4504
Dmel\CG14641	Q95RB1	418	1	1563
Ogdh2	Q95T35	1282	0	14401
alpha-Est2	Q961N0	566	0	3420
CT19169	Q961R9	555	1	5083
Hsp70Bc	Q9BIR7	641	0	2346
Cyp303a1	Q9V399	503	0	2786
Thg	Q9V3N8	286	0	1235
CG9776	Q9V468	1260	1	6257
Cyp6g2	Q9V675	519	0	2039
Nup54	Q9V6B9	610	1	2650
Mccc2	Q9V9A7	578	1	2573
Or94a	Q9VCS9	387	0	1222
Dmel\CG7208	Q9VEC4	450	0	2059
