WBGene00004408	Q93572
WBGene00003825	Q95QZ3
WBGene00000207	Q19126
WBGene00000911	Q68TI8
WBGene00006794	Q07750
WBGene00003065	D5MCR9
WBGene00020931	O01816
WBGene00020208	Q4A572
WBGene00013709	Q8WQ99
WBGene00001840	Q18212
WBGene00016393	O44955
WBGene00004703	Q18409
WBGene00003085	A0A0S4XR43
WBGene00019162	Q9TXU7
WBGene00004504	O17071
WBGene00000962	Q19020
WBGene00008682	P54816
WBGene00021986	Q3V5H3
WBGene00010500	P90904
WBGene00013737	O77081
WBGene00006840	P34540
WBGene00004128	C7IVR4
WBGene00001134	Q18965
WBGene00009521	G4RYA5
WBGene00001168	P53013
WBGene00003149	Q8WQL7
WBGene00015091	O01441
WBGene00000908	G5EFF5
WBGene00000184	Q9U2S4
WBGene00006888	Q95XY1
WBGene00013597	Q7K707
WBGene00022855	Q95PX9
WBGene00017220	Q8WQF7
WBGene00011679	Q22370
WBGene00017349	A0A1D3PCL0
WBGene00000836	Q17389
WBGene00013678	Q8WQA1
WBGene00009065	A0A0K3AR51
WBGene00014015	P34653
WBGene00022087	U4PCF3
WBGene00018681	U4PEG5
WBGene00020142	Q95ZQ4
WBGene00003639	O45666
WBGene00006697	P90978
WBGene00003826	G5EFX8
WBGene00000369	Q17345
WBGene00008920	P54412
WBGene00004505	O76371
WBGene00020115	O01925
WBGene00001030	O45502
WBGene00004274	O01803
WBGene00004319	Q23541
WBGene00011827	G5EDW0
WBGene00017920	Q9GYI0
WBGene00016803	P34371
WBGene00020839	P91502
WBGene00008452	Q93425
WBGene00016062	O76387
WBGene00010037	P34442
WBGene00010405	E9P8A2
WBGene00020334	Q22342
WBGene00021733	Q9N4T5
WBGene00001031	Q20774
WBGene00004487	O18240
WBGene00007588	N1NTN5
WBGene00009189	Q93618
WBGene00006727	P0CG71
WBGene00014023	P30639
WBGene00016194	Q09475
WBGene00007587	Q17974
WBGene00002583	Q95Q95
WBGene00004116	H2L2J5
WBGene00013378	Q9U1X6
WBGene00004040	G5EDU3
WBGene00002244	D0PV95
WBGene00019126	O01902
WBGene00004417	P47991
WBGene00006709	Q9U1Q1
WBGene00003002	Q11107
WBGene00020706	Q9TXN6
WBGene00001087	Q9U2M1
WBGene00004880	O76512
WBGene00004762	G5ECQ3
WBGene00012694	Q8MYM8
WBGene00002637	G5EBZ4
WBGene00004481	P49196
WBGene00003920	P41932
WBGene00004704	O01159
WBGene00002162	O44512
WBGene00044530	Q4R145
WBGene00010958	P24886
WBGene00021355	H2L0N9
WBGene00013354	D9PTP7
WBGene00004187	P34369
WBGene00018294	O16466
WBGene00007514	P90747
WBGene00014115	G5EFL0
WBGene00007534	Q2XMZ9
WBGene00007786	B2D6P1
WBGene00015237	O61825
WBGene00004433	P34334
WBGene00003598	Q19818
WBGene00019971	O61931
WBGene00020604	P41847
WBGene00000160	Q9N4F3
WBGene00011867	P34574
WBGene00000163	O62348
WBGene00000800	A0A061ACL3
WBGene00001284	P34441
WBGene00020417	Q86NC2
WBGene00000159	O16369
WBGene00015143	Q10954
WBGene00022306	Q9N4A5
WBGene00003858	O18158
WBGene00018849	Q9N5R9
WBGene00001047	Q9U1W0
WBGene00007602	Q9XVT2
WBGene00001194	Q09228
WBGene00001233	Q9XUP3
WBGene00020246	P90961
WBGene00001209	P34339
WBGene00016961	Q18886
WBGene00009050	Q19723
WBGene00010280	P90897
WBGene00019401	Q21233
WBGene00004743	G5EED5
WBGene00017245	P91240
WBGene00004390	Q09584
WBGene00013340	Q9GRZ9
WBGene00016981	Q09289
WBGene00002083	P27639
WBGene00008999	D9PTN5
WBGene00016661	Q95YD2
WBGene00015547	Q17740
WBGene00003060	A0A0K3AWP8
WBGene00011344	P34692
WBGene00004946	Q9N4G4
WBGene00019305	P83351
WBGene00009732	O62246
WBGene00018846	P34460
WBGene00005010	Q9XWP6
WBGene00009353	O62215
WBGene00021754	Q8WTL6
WBGene00000419	G5EEN3
WBGene00008800	Q19459
WBGene00000210	Q18803
WBGene00001173	O76360
WBGene00004318	Q22670
WBGene00006708	Q95XX0
WBGene00007980	P48322
WBGene00003903	Q19581
WBGene00021486	Q965W1
WBGene00021466	Q95XR0
WBGene00009498	G5EBH1
WBGene00021842	Q9N3D1
WBGene00017284	Q19262
WBGene00021473	Q95XQ1
WBGene00012734	B5WWM0
WBGene00019327	Q21148
WBGene00021849	Q9BL03
WBGene00010097	Q20822
WBGene00009888	Q565D2
WBGene00000508	P34424
WBGene00007135	P46551
WBGene00008419	P90794
WBGene00003925	Q95005
WBGene00017926	O76367
WBGene00020930	H2KZZ2
WBGene00009367	O62220
WBGene00004208	Q09614
WBGene00001167	P29691
WBGene00018776	U4PBN2
WBGene00016614	Q5WRR4
WBGene00001258	Q9U1Q7
WBGene00015755	Q8MNV8
WBGene00006755	P34609
WBGene00019157	H2L0A8
WBGene00001196	G5EGU1
WBGene00004464	O61792
WBGene00004203	G5EF87
WBGene00009740	O02267
WBGene00004336	Q7JLB0
WBGene00004756	Q23368
WBGene00001056	H2KZK7
WBGene00008720	G5EE62
WBGene00006537	P52275
WBGene00010564	Q21224
WBGene00021551	Q8ITV6
WBGene00008685	Q19338
WBGene00002065	Q20751
WBGene00018610	Q09567
WBGene00006577	B2D6P4
WBGene00001259	P34703
WBGene00006986	G5EE45
WBGene00004435	P48158
WBGene00022051	Q9BKQ5
WBGene00018161	Q95Q55
WBGene00004751	A0A0K3AUE4
WBGene00018364	H2KY93
WBGene00000549	P32744
WBGene00000567	P34652
WBGene00003130	H1UBK1
WBGene00006994	G5EEM5
WBGene00000263	O01917
WBGene00013803	H1UBK0
WBGene00009508	Q8WQF4
WBGene00009783	P52879
WBGene00013667	Q9NF22
WBGene00013808	G5EF97
WBGene00017982	O16298
WBGene00013095	Q9XWJ8
WBGene00009477	O62235
WBGene00021756	Q9N3K5
WBGene00012896	Q9U2G0
WBGene00007690	A0A2K5ATK0
WBGene00013689	Q9NF14
WBGene00004367	Q9GSX9
WBGene00020824	Q22806
WBGene00022366	Q95XC4
WBGene00001329	Q9BI72
WBGene00010806	O45692
WBGene00021294	Q2Z1N7
WBGene00004466	O61742
WBGene00012973	F3Y5Q7
WBGene00018290	O16458
WBGene00012136	Q22849
WBGene00004915	P91918
WBGene00018508	P91309
WBGene00018482	Q22974
WBGene00001018	Q09248
WBGene00009974	E5QCH3
WBGene00006382	G5EGM3
WBGene00010013	O62263
WBGene00018963	P98080
WBGene00004463	Q20585
WBGene00001498	Q19713
WBGene00004806	Q22836
WBGene00000041	P34455
WBGene00003559	P34611
WBGene00001834	O17695
WBGene00013034	Q9U280
WBGene00008414	P90789
WBGene00012584	Q7K714
WBGene00000110	A0A486WWU7
WBGene00017088	Q966L3
WBGene00013735	E0R7L3
WBGene00019240	Q17335
WBGene00016158	O01965
WBGene00021783	E0DBL0
WBGene00000380	P47209
WBGene00000565	Q9XXH8
WBGene00013225	Q9U227
WBGene00022865	P34623
WBGene00021444	F8WU09
WBGene00022785	P34664
WBGene00022152	Q3V5I7
WBGene00001579	O44518
WBGene00014016	P34654
WBGene00012990	B7FAS6
WBGene00003068	Q9TZM3
WBGene00021369	Q965X6
WBGene00009664	Q93714
WBGene00004245	Q23191
WBGene00011299	P32742
WBGene00003132	Q9N593
WBGene00017311	O17407
WBGene00012788	Q9NF29
WBGene00000229	P46561
WBGene00010244	Q9NLD3
WBGene00001431	O45418
WBGene00006961	Q9U7E0
WBGene00019697	O61862
WBGene00000813	Q9GS00
WBGene00015553	Q17745
WBGene00008386	G5EFC4
WBGene00018151	Q20122
WBGene00001708	Q09537
WBGene00008530	A5Z2V8
WBGene00000502	G5EEI8
WBGene00007023	Q22550
WBGene00022678	Q23445
WBGene00020284	G5ED26
WBGene00000897	P20792
WBGene00020496	H2KYH3
WBGene00004046	Q94230
WBGene00004699	Q23120
WBGene00013985	P34643
WBGene00015346	P34280
WBGene00001007	G5ED34
WBGene00018316	H2L025
WBGene00018520	Q20487
WBGene00015173	A0A131MBP2
WBGene00019217	Q9N5L9
WBGene00022489	Q8IAB4
WBGene00007979	Q93346
WBGene00002981	Q23536
WBGene00000079	Q9U3D6
WBGene00002070	G5EDE8
WBGene00000426	Q8STE5
WBGene00022019	Q95XU6
WBGene00012868	G5EBY2
WBGene00004014	Q9BKU4
WBGene00001488	G5EEG8
WBGene00012194	Q9XUM8
WBGene00020408	H2L0L1
WBGene00016203	P34344
WBGene00045418	A5Z2T9
WBGene00004829	Q19019
WBGene00000876	G5EBX3
WBGene00018769	O17245
WBGene00012343	G5EDE4
WBGene00004701	Q09511
WBGene00012389	G5EGE8
WBGene00021697	B3CJ34
WBGene00044989	G5ECK4
WBGene00004389	Q9N3S4
WBGene00008973	Q93533
WBGene00004111	G5EF29
WBGene00013177	Q9U252
WBGene00007428	D9N129
WBGene00009180	Q6BER5
WBGene00020683	Q9GZH4
WBGene00000898	Q968Y9
WBGene00009126	O17835
WBGene00021800	Q9N3H3
WBGene00004945	Q965H3
WBGene00006479	Q11080
WBGene00021736	Q8WTM8
WBGene00002196	P28548
WBGene00019466	Q95R01
WBGene00022169	Q9BL33
WBGene00000564	G5EEW9
WBGene00004458	Q9GZH5
WBGene00021313	Q9N536
WBGene00018710	Q9GZI0
WBGene00004788	Q18864
WBGene00002223	G5EGS3
WBGene00000542	P34308
WBGene00010279	Q9XVL7
WBGene00006373	Q20797
WBGene00022579	P34594
WBGene00017045	P34379
WBGene00019831	H2KZJ3
WBGene00011292	Q9U389
WBGene00003472	O01837
WBGene00008683	Q19335
WBGene00003034	Q20318
WBGene00000472	O62213
WBGene00011308	Q95ZQ5
WBGene00009112	Q93559
WBGene00021546	Q95XZ6
WBGene00004375	G5ECW9
WBGene00016391	O44952
WBGene00015301	Q17555
WBGene00004746	G5EBL3
WBGene00010845	G5EDG2
WBGene00022360	W6RY35
WBGene00004271	Q23146
WBGene00016888	A0A5K1ICF1
WBGene00000814	O01422
WBGene00003587	Q93725
WBGene00022401	Q965R9
WBGene00000536	P48376
WBGene00009290	O45417
WBGene00006739	Q09275
WBGene00000377	P41988
WBGene00002249	P34629
WBGene00022127	Q9N4G8
WBGene00001994	Q8MQ70
WBGene00001325	G5EE70
WBGene00022361	W6RTG0
WBGene00001058	U4PB38
WBGene00011737	Q22436
WBGene00013014	G5EC81
WBGene00011980	N1NTH7
WBGene00019334	Q9TXJ8
WBGene00018572	Q65ZG8
WBGene00016489	Q9BLA0
WBGene00003785	O62486
WBGene00006945	G5EDY2
WBGene00002783	O44743
WBGene00006785	Q10045
WBGene00001426	F1LIM6
WBGene00000183	G5EFK4
WBGene00021844	Q9N3D0
WBGene00000987	Q9U1Y6
WBGene00018075	H2KZZ6
WBGene00002074	Q19969
WBGene00014036	P30651
WBGene00003391	G5EBT5
WBGene00009880	Q20588
WBGene00017272	Q95ZW2
WBGene00013002	O18197
WBGene00011605	G5EEQ8
WBGene00014054	Q23571
WBGene00004185	Q22006
WBGene00013577	Q9XWC9
WBGene00019543	Q94261
WBGene00013355	G5EEN4
WBGene00021334	Q9BL83
WBGene00003144	G5EGQ3
WBGene00004268	P91857
WBGene00015430	Q11194
WBGene00010560	Q21230
WBGene00006478	Q9XXA7
WBGene00012995	H1UBJ9
WBGene00019883	P34544
WBGene00020391	Q86S29
WBGene00016015	Q9GYR5
WBGene00011815	P34568
WBGene00018516	Q20483
WBGene00010428	Q9U3C8
WBGene00010160	Q9TW67
WBGene00018361	O44509
WBGene00007008	P34537
WBGene00001558	G5EBR1
WBGene00008149	Q18680
WBGene00018131	P41879
WBGene00022044	Q9TYJ7
WBGene00018152	Q20121
WBGene00006975	P34447
WBGene00003793	P91457
WBGene00019326	Q21153
WBGene00004357	Q22038
WBGene00010713	Q2EEM5
WBGene00009992	Q20719
WBGene00015754	P34335
WBGene00006773	O02482
WBGene00007880	Q18359
WBGene00008622	O01299
WBGene00018784	Q9N4K0
WBGene00003926	Q95008
WBGene00006386	G5EF68
WBGene00017372	H2KZP9
WBGene00004679	Q19825
WBGene00016278	G5EFF8
WBGene00018782	Q9N4J8
WBGene00009542	Q20168
WBGene00003186	Q10664
WBGene00013734	Q9BHL4
WBGene00001166	Q23463
WBGene00003953	P90868
WBGene00002078	Q8MPS6
WBGene00009674	Q8MQ51
WBGene00019983	O16259
WBGene00009996	G5EC45
WBGene00013529	K8ESJ1
WBGene00004134	G5EFI7
WBGene00007730	Q18169
WBGene00021683	Q8IU06
WBGene00013360	Q9U1Z4
WBGene00016889	Q18780
WBGene00012484	Q9XW17
WBGene00007761	A0A3B1E4Z6
WBGene00016331	Q8I7N6
WBGene00004314	Q9BL05
WBGene00013106	Q9U263
WBGene00009478	O62236
WBGene00013308	O18236
WBGene00009051	Q19724
WBGene00007620	A5Z2U3
WBGene00001812	O02086
WBGene00008119	Q93382
WBGene00010677	Q21351
WBGene00009691	G5ECU5
WBGene00004016	G5EBY6
WBGene00015813	Q18033
WBGene00000874	Q8WT44
WBGene00008266	D5MCU1
WBGene00001405	Q9XVE5
WBGene00018491	Q9UAV5
WBGene00003904	Q93233
WBGene00018208	O16274
WBGene00008404	Q18966
WBGene00000292	P34685
WBGene00004804	P34707
WBGene00007824	O45279
WBGene00004471	P51403
WBGene00018802	Q8MQ25
WBGene00010552	Q9XVV7
WBGene00020821	Q95Q98
WBGene00004284	Q9U2C3
WBGene00004302	O17915
WBGene00015296	Q17558
WBGene00009692	G5ECU5
WBGene00001352	G5EC05
WBGene00020630	O02169
WBGene00008120	O62100
WBGene00021816	Q9N3F7
WBGene00007184	Q03560
WBGene00004947	Q9N5D3
WBGene00016624	Q95QR6
WBGene00001946	Q9U281
WBGene00002045	Q18885
WBGene00019333	Q21154
WBGene00012982	Q9U297
WBGene00010990	Q09413
WBGene00004254	G5EDB9
WBGene00000201	A0A3P6PCS5
WBGene00001043	G5EDJ6
WBGene00009010	Q19683
WBGene00004387	Q21832
WBGene00022281	A0A061AJH7
WBGene00002027	Q7JKP6
WBGene00020234	Q9GYK8
WBGene00022369	Q9BPN8
WBGene00011036	Q21740
WBGene00010306	A0A3P6N624
WBGene00000197	O01541
WBGene00010890	Q21554
WBGene00019433	O44549
WBGene00000591	A0A131MBD0
WBGene00013557	Q9XW63
WBGene00020504	H2KZU7
WBGene00016643	H2KYN0
WBGene00022458	Q9N592
WBGene00022365	Q9BKW0
WBGene00000838	Q17391
WBGene00004166	Q95XZ5
WBGene00000795	G5EG18
WBGene00021507	Q95Y26
WBGene00001565	P34333
WBGene00017317	O17406
WBGene00009098	G5ECW3
WBGene00001005	Q22799
WBGene00016509	P91134
WBGene00014096	Q23624
WBGene00017217	Q09531
WBGene00011975	P90970
WBGene00018564	Q09392
WBGene00015744	O01486
WBGene00001509	Q23424
WBGene00004468	Q23449
WBGene00006937	Q9U229
WBGene00020235	H2L0J8
WBGene00004723	Q09442
WBGene00000840	Q23639
WBGene00020026	Q21960
WBGene00018812	Q22992
WBGene00009346	Q95QH1
WBGene00006352	G5EDR3
WBGene00011111	Q21831
WBGene00020092	Q09345
WBGene00011972	O45812
WBGene00010333	O17901
WBGene00020171	A9D0C6
WBGene00017735	Q9TXI3
WBGene00015809	Q18037
WBGene00020259	O01858
WBGene00004403	A0A0K3AS30
WBGene00006331	D5MCQ2
WBGene00022176	Q9BL46
WBGene00004273	Q94148
WBGene00012166	Q23098
WBGene00020827	Q22805
WBGene00015507	W6RXT0
WBGene00001909	Q27485
WBGene00022148	Q95XM9
WBGene00003834	Q9XVS7
WBGene00000208	G5EDK1
WBGene00004800	Q21921
WBGene00018700	A0A486WX74
WBGene00002004	G5EFT5
WBGene00010911	Q0G840
WBGene00014202	Q23381
WBGene00017605	O01524
WBGene00011722	A0A061ACS6
WBGene00022235	Q8MXR6
WBGene00009583	J7SA48
WBGene00001744	Q10039
WBGene00019628	Q09408
WBGene00004373	G5EFP1
WBGene00000293	P34686
WBGene00022697	P34624
WBGene00002879	P34346
WBGene00013670	Q6EUT4
WBGene00007007	Q965G5
WBGene00003003	Q21446
WBGene00003026	Q9U489
WBGene00022750	H2KZ16
WBGene00021049	Q23178
WBGene00022380	Q9N2W7
WBGene00007666	Q9XX98
WBGene00004462	Q20938
WBGene00001229	Q18967
WBGene00020090	H1ZUX5
WBGene00013140	O18211
WBGene00019158	H2L0A7
WBGene00003915	Q9U3A0
WBGene00020184	P91430
WBGene00001227	P30642
WBGene00001086	P48996
WBGene00008444	A0A164D380
WBGene00003949	Q23237
WBGene00003084	Q9TZD0
WBGene00006494	Q9XTQ7
WBGene00008624	Q19267
WBGene00010284	Q2PJ74
WBGene00011034	Q21738
WBGene00013001	O18196
WBGene00009975	Q1HAZ8
WBGene00019786	Q688B0
WBGene00018339	Q20306
WBGene00012903	Q9U2F6
WBGene00019664	P91373
WBGene00013924	Q23451
