Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YBR115C	YBR115C_mRNA	P07702	P07702	469748	473926
YBR115C	YBR115C_mRNA	P07702	A0A8H4F7X1	469748	473926
YGL156W	YGL156W_mRNA	P22855	P22855	210416	213667
YGL156W	YGL156W_mRNA	P22855	A0A8H4C011	210416	213667
YNL150W	YNL150W_mRNA	P53902	P53902	349251	349658
YCR052W	YCR052W_mRNA	P25632	P25632	214994	216445
YCR052W	YCR052W_mRNA	P25632	A0A8H4BUS8	214994	216445
YGL015C	YGL015C_mRNA	P33199	P33199	465043	465435
YGL015C	YGL015C_mRNA	P33199	A0A6A5PYY0	465043	465435
YOR206W	YOR206W_mRNA	P39744	P39744	727512	729644
YOR206W	YOR206W_mRNA	P39744	A0A8H4BX61	727512	729644
YMR091C	YMR091C_mRNA	P32832	A0A6L1BN73	450058	451365
YMR091C	YMR091C_mRNA	P32832	P32832	450058	451365
YMR173W-A	YMR173W-A_mRNA	A0A023PXQ4	A0A023PXQ4	608897	610081
YJR105W	YJR105W_mRNA	P47143	A0A6A5PUY7	623581	624603
YJR105W	YJR105W_mRNA	P47143	P47143	623581	624603
YHL002W	YHL002W_mRNA	P38753	P38753	102612	103970
YHL002W	YHL002W_mRNA	P38753	A0A8H4BZK6	102612	103970
YCR100C	YCR100C_mRNA	P25606	A0A8H4BTR8	301271	302221
YCR100C	YCR100C_mRNA	P25606	P25606	301271	302221
YOR345C	YOR345C_mRNA	Q08811	Q08811	981812	982162
YPL217C	YPL217C_mRNA	Q08965	A0A8H4F814	139620	143171
YPL217C	YPL217C_mRNA	Q08965	Q08965	139620	143171
YOR341W	YOR341W_mRNA	P10964	A0A7I9C4M8	960987	965981
YOR341W	YOR341W_mRNA	P10964	P10964	960987	965981
YDL189W	YDL189W_mRNA	Q05672	Q05672	122216	123589
YDL189W	YDL189W_mRNA	Q05672	A0A8H8UMB0	122216	123589
YLR279W	YLR279W_mRNA	O13540	O13540	704309	704698
YHR219C-A	YHR219C-A_mRNA	P0CL34	P0CL36	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL34	P0CL35	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL34	P0CL34	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL35	P0CL36	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL35	P0CL35	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL35	P0CL34	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL36	P0CL36	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL36	P0CL35	561199	561681
YHR219C-A	YHR219C-A_mRNA	P0CL36	P0CL34	561199	561681
YER056C-A	YER056C-A_mRNA	P87262	P87262	269423	270185
YMR180C	YMR180C_mRNA	Q03220	Q03220	622251	623213
YMR180C	YMR180C_mRNA	Q03220	A0A8H4BXJ4	622251	623213
YNL097C	YNL097C_mRNA	P50947	A0A6L0ZYR3	441366	442358
YNL097C	YNL097C_mRNA	P50947	P50947	441366	442358
YDR508C	YDR508C_mRNA	P48813	A0A8H8UP37	1466453	1468444
YDR508C	YDR508C_mRNA	P48813	P48813	1466453	1468444
YHR045W	YHR045W_mRNA	P38775	A0A8H4C222	195551	197233
YHR045W	YHR045W_mRNA	P38775	P38775	195551	197233
YML020W	YML020W_mRNA	Q03722	Q03722	231149	233143
YML020W	YML020W_mRNA	Q03722	A0A8H4BX50	231149	233143
YGR251W	YGR251W_mRNA	P53317	P53317	995639	996229
YGR251W	YGR251W_mRNA	P53317	A0A8H8UKY4	995639	996229
YPL197C	YPL197C_mRNA	Q08953	Q08953	174343	174756
YBR031W	YBR031W_mRNA	P10664	P10664	300166	301254
YBR031W	YBR031W_mRNA	P10664	A0A6A5Q3W0	300166	301254
YDR462W	YDR462W_mRNA	P36527	A0A6A5Q320	1386073	1386516
YDR462W	YDR462W_mRNA	P36527	P36527	1386073	1386516
YPR139C	YPR139C_mRNA	Q06508	A0A6A5Q1P9	813156	814058
YPR139C	YPR139C_mRNA	Q06508	Q06508	813156	814058
YPR169W	YPR169W_mRNA	Q06214	Q06214	878690	880168
YPR169W	YPR169W_mRNA	Q06214	A0A8H4BWJ6	878690	880168
YPL257W	YPL257W_mRNA	Q08974	A0A8H4BVJ7	63279	63860
YPL257W	YPL257W_mRNA	Q08974	Q08974	63279	63860
YOL088C	YOL088C_mRNA	Q99316	A0A8H4BVF1	153912	154745
YOL088C	YOL088C_mRNA	Q99316	Q99316	153912	154745
YLR075W	YLR075W_mRNA	P41805	A0A6A5PUZ5	282927	283592
YLR075W	YLR075W_mRNA	P41805	P41805	282927	283592
YML088W	YML088W_mRNA	Q04511	Q04511	92235	94241
YIL010W	YIL010W_mRNA	P40553	P40553	334882	335529
YIL010W	YIL010W_mRNA	P40553	A0A8H4C1M4	334882	335529
YBL108C-A	YBL108C-A_mRNA		A0A8H4BTY9	7605	7733
YDR175C	YDR175C_mRNA	Q03976	A0A6L0Y635	813193	814152
YDR175C	YDR175C_mRNA	Q03976	Q03976	813193	814152
YLR052W	YLR052W_mRNA	Q12345	A0A8H4F9T3	247201	247953
YLR052W	YLR052W_mRNA	Q12345	Q12345	247201	247953
YKR004C	YKR004C_mRNA	Q02202	Q02202	446799	448036
YNL137C	YNL137C_mRNA	P27929	A0A8H4BVP0	368595	370055
YNL137C	YNL137C_mRNA	P27929	P27929	368595	370055
YNL331C	YNL331C_mRNA	P42884	P42884	16118	17248
YFL026W	YFL026W_mRNA	D6VTK4	D6VTK4	82580	83875
YFL026W	YFL026W_mRNA	D6VTK4	P0CI39	82580	83875
YFL026W	YFL026W_mRNA	D6VTK4	A0A8H8UL56	82580	83875
YBR116C	YBR116C_mRNA	P38268	P38268	474199	474726
YJR129C	YJR129C_mRNA	P47163	P47163	664000	665019
YKR092C	YKR092C_mRNA	P32583	P32583	612665	613885
YKR092C	YKR092C_mRNA	P32583	A0A8H4BYB3	612665	613885
YDR186C	YDR186C_mRNA	Q04007	Q04007	832859	835492
YDR186C	YDR186C_mRNA	Q04007	A0A8H8UN96	832859	835492
YML077W	YML077W_mRNA	Q03630	Q03630	111865	112344
YML077W	YML077W_mRNA	Q03630	A0A6A5PSF0	111865	112344
YEL067C	YEL067C_mRNA	P39978	P39978	26189	26776
YEL067C	YEL067C_mRNA	P39978	A0A8H8ULE9	26189	26776
YJL139C	YJL139C_mRNA	P26725	A0A7I9F6F8	151713	152999
YJL139C	YJL139C_mRNA	P26725	P26725	151713	152999
YKL002W	YKL002W_mRNA	P36108	P36108	437778	438544
YGR162W	YGR162W_mRNA	P39935	P39935	824059	826917
YGR162W	YGR162W_mRNA	P39935	A0A8H4FAC0	824059	826917
YLR159C-A	YLR159C-A_mRNA	P0CY04	P0CY02	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY04	P0CY05	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY04	P0CY03	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY04	P0CY04	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY05	P0CY02	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY05	P0CY05	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY05	P0CY03	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY05	P0CY04	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY03	P0CY02	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY03	P0CY05	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY03	P0CY03	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY03	P0CY04	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY02	P0CY02	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY02	P0CY05	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY02	P0CY03	485711	485842
YLR159C-A	YLR159C-A_mRNA	P0CY02	P0CY04	485711	485842
YDR150W	YDR150W_mRNA	Q00402	Q00402	755628	763874
YEL054C	YEL054C_mRNA	P0CX53	A0A6A5Q275	52721	53218
YEL054C	YEL054C_mRNA	P0CX53	P0CX53	52721	53218
YEL054C	YEL054C_mRNA	P0CX53	P0CX54	52721	53218
YEL054C	YEL054C_mRNA	P0CX54	A0A6A5Q275	52721	53218
YEL054C	YEL054C_mRNA	P0CX54	P0CX53	52721	53218
YEL054C	YEL054C_mRNA	P0CX54	P0CX54	52721	53218
YOR392W	YOR392W_mRNA	Q08915	Q08915	1079282	1079725
YPL009C	YPL009C_mRNA	Q12532	A0A8H4F709	535820	538936
YPL009C	YPL009C_mRNA	Q12532	Q12532	535820	538936
YLR025W	YLR025W_mRNA	P39929	P39929	194452	195174
YLR025W	YLR025W_mRNA	P39929	A0A6A5PQK0	194452	195174
YDR243C	YDR243C_mRNA	P23394	P23394	948518	950284
YDR243C	YDR243C_mRNA	P23394	A0A8H8UNE7	948518	950284
YGR005C	YGR005C_mRNA	P41896	A0A6A5PZ00	504657	505859
YGR005C	YGR005C_mRNA	P41896	P41896	504657	505859
YOR160W	YOR160W_mRNA	Q99189	A0A8H4F7H2	633839	636757
YOR160W	YOR160W_mRNA	Q99189	Q99189	633839	636757
YLR049C	YLR049C_mRNA	Q12110	A0A6A5PQV6	243886	245172
YLR049C	YLR049C_mRNA	Q12110	Q12110	243886	245172
YLR308W	YLR308W_mRNA	Q06703	Q06703	747937	748875
YOR084W	YOR084W_mRNA	Q12405	Q12405	480587	481750
YOR084W	YOR084W_mRNA	Q12405	A0A8H4BVM4	480587	481750
YNL030W	YNL030W_mRNA	P02309	P02309	576727	577038
YNL030W	YNL030W_mRNA	P02309	A0A6A5Q1V3	576727	577038
YHR084W	YHR084W_mRNA	P13574	A0A8H4F9L2	274174	276240
YHR084W	YHR084W_mRNA	P13574	P13574	274174	276240
YLR032W	YLR032W_mRNA	P32849	P32849	204991	208500
YOR039W	YOR039W_mRNA	P38930	P38930	405768	406544
YOR039W	YOR039W_mRNA	P38930	A0A6A5Q609	405768	406544
YBR241C	YBR241C_mRNA	P38142	P38142	702589	704055
YBR241C	YBR241C_mRNA	P38142	A0A8H4F7X2	702589	704055
YEL047C	YEL047C_mRNA	P32614	P32614	65385	66797
YEL047C	YEL047C_mRNA	P32614	A0A8H8ULG8	65385	66797
YML125C	YML125C_mRNA	Q12746	A0A8H4BW96	20761	21699
YML125C	YML125C_mRNA	Q12746	Q12746	20761	21699
YOR264W	YOR264W_mRNA	Q08729	Q08729	818866	820158
YOR264W	YOR264W_mRNA	Q08729	A0A6A5Q302	818866	820158
YPL183C	YPL183C_mRNA	Q08924	A0A8H4BUL9	199495	202536
YPL183C	YPL183C_mRNA	Q08924	Q08924	199495	202536
YNL297C	YNL297C_mRNA	P48563	A0A8H4F920	71673	76583
YNL297C	YNL297C_mRNA	P48563	P48563	71673	76583
YPR065W	YPR065W_mRNA	P25042	A0A8H4F8D6	679693	680799
YPR065W	YPR065W_mRNA	P25042	P25042	679693	680799
YNL102W	YNL102W_mRNA	P13382	P13382	430087	434493
YNL102W	YNL102W_mRNA	P13382	A0A8H4BVQ7	430087	434493
YPR099C	YPR099C_mRNA	O13548	O13548	729757	730113
YCR107W	YCR107W_mRNA	P25612	P25612	313890	314981
YCR107W	YCR107W_mRNA	P25612	A0A8H4BST3	313890	314981
YMR318C	YMR318C_mRNA	Q04894	A0A7I9FXN4	911061	912143
YMR318C	YMR318C_mRNA	Q04894	Q04894	911061	912143
YPR032W	YPR032W_mRNA	Q12038	A0A8H4BUW1	634123	637224
YPR032W	YPR032W_mRNA	Q12038	Q12038	634123	637224
YOR281C	YOR281C_mRNA	Q12017	A0A8H4F8X5	846269	847129
YOR281C	YOR281C_mRNA	Q12017	Q12017	846269	847129
YMR115W	YMR115W_mRNA	Q04472	Q04472	497704	499209
YMR115W	YMR115W_mRNA	Q04472	A0A8H4F9H5	497704	499209
YFR027W	YFR027W_mRNA	P43605	P43605	207452	208297
YFR027W	YFR027W_mRNA	P43605	A0A8H8ULA9	207452	208297
YMR266W	YMR266W_mRNA	Q03516	A0A8H4BY46	798518	801379
YMR266W	YMR266W_mRNA	Q03516	Q03516	798518	801379
YDL182W	YDL182W_mRNA	P48570	A0A8H8UMB6	133437	134723
YDL182W	YDL182W_mRNA	P48570	P48570	133437	134723
YER146W	YER146W_mRNA	P40089	A0A6A5PXE6	462585	462866
YER146W	YER146W_mRNA	P40089	P40089	462585	462866
YLR251W	YLR251W_mRNA	Q06563	Q06563	641464	642057
YLR251W	YLR251W_mRNA	Q06563	A0A6A5PRT2	641464	642057
YBR182C	YBR182C_mRNA	P38128	P38128	593506	594864
YBR182C	YBR182C_mRNA	P38128	A0A8H4BVH8	593506	594864
YDR362C	YDR362C_mRNA	Q06339	Q06339	1196679	1198697
YDR362C	YDR362C_mRNA	Q06339	A0A8H8UNQ8	1196679	1198697
YNR026C	YNR026C_mRNA	P11655	P11655	673274	674689
YNR026C	YNR026C_mRNA	P11655	A0A8H4BW62	673274	674689
YBR134W	YBR134W_mRNA	P38275	P38275	504243	504644
YHR126C	YHR126C_mRNA	P38832	A0A6A5PW28	359702	360181
YHR126C	YHR126C_mRNA	P38832	P38832	359702	360181
YPR194C	YPR194C_mRNA	Q06593	Q06593	924304	926937
YPR194C	YPR194C_mRNA	Q06593	A0A8H4BUB8	924304	926937
YGL160W	YGL160W_mRNA	P53109	A0A8H4C189	200561	202273
YGL160W	YGL160W_mRNA	P53109	P53109	200561	202273
YAL003W	YAL003W_mRNA	P32471	P32471	142174	143160
YPL084W	YPL084W_mRNA	P48582	P48582	394038	396572
YNL152W	YNL152W_mRNA	P53901	A0A8H4BVN0	346313	347542
YNL152W	YNL152W_mRNA	P53901	P53901	346313	347542
YCL002C	YCL002C_mRNA	P25565	P25565	110808	111675
YIL117C	YIL117C_mRNA	P40476	A0A8H4FB11	140613	141569
YIL117C	YIL117C_mRNA	P40476	P40476	140613	141569
YBL037W	YBL037W_mRNA	P38065	P38065	147209	150286
YBL037W	YBL037W_mRNA	P38065	A0A8H4F6G8	147209	150286
YNL140C	YNL140C_mRNA	P53910	P53910	360917	361486
YDR232W	YDR232W_mRNA	P09950	A0A8H8UND7	927452	929098
YDR232W	YDR232W_mRNA	P09950	P09950	927452	929098
YJL062W-A	YJL062W-A_mRNA	Q3E7B2	A0A6A5PWP4	316723	316980
YJL062W-A	YJL062W-A_mRNA	Q3E7B2	Q3E7B2	316723	316980
YBR019C	YBR019C_mRNA	P04397	P04397	276253	278352
YBR022W	YBR022W_mRNA	P38218	P38218	283738	284271
YBR022W	YBR022W_mRNA	P38218	A0A8H4BSZ7	283738	284271
YDR158W	YDR158W_mRNA	P13663	P13663	770357	771454
YDR158W	YDR158W_mRNA	P13663	A0A6A5PYM4	770357	771454
YOR230W	YOR230W_mRNA	Q12363	Q12363	770800	772113
YOR230W	YOR230W_mRNA	Q12363	A0A8H4F8V9	770800	772113
YNL099C	YNL099C_mRNA	P50946	A0A6A5Q7C8	438567	439283
YNL099C	YNL099C_mRNA	P50946	P50946	438567	439283
YKL173W	YKL173W_mRNA	P36048	P36048	122517	125543
YKL173W	YKL173W_mRNA	P36048	A0A6A5PW35	122517	125543
YER159C	YER159C_mRNA	P40096	P40096	491530	491958
YER159C	YER159C_mRNA	P40096	A0A6A5PYP7	491530	491958
YML057W	YML057W_mRNA	P14747	A0A8H4BYA8	160180	161994
YML057W	YML057W_mRNA	P14747	P14747	160180	161994
YML055W	YML055W_mRNA	Q04969	A0A6A5PSH1	164790	165326
YML055W	YML055W_mRNA	Q04969	Q04969	164790	165326
YDR439W	YDR439W_mRNA	Q04087	A0A8H8UNX7	1339676	1340719
YDR439W	YDR439W_mRNA	Q04087	Q04087	1339676	1340719
YBR121C-A	YBR121C-A_mRNA	P0C5L4	P0C5L4	482326	482484
YJL110C	YJL110C_mRNA	P42944	P42944	209922	211577
YJL110C	YJL110C_mRNA	P42944	A0A8H4C004	209922	211577
YNL182C	YNL182C_mRNA	P53877	A0A8H4FAQ5	295960	297627
YNL182C	YNL182C_mRNA	P53877	P53877	295960	297627
YJR088C	YJR088C_mRNA	P47133	P47133	586495	587373
YJR088C	YJR088C_mRNA	P47133	A0A8H4BYX3	586495	587373
YMR105C	YMR105C_mRNA	P37012	A0A8H4BWM4	475897	477606
YMR105C	YMR105C_mRNA	P37012	P37012	475897	477606
YOR144C	YOR144C_mRNA	Q12050	A0A8H4F7G7	602717	605092
YOR144C	YOR144C_mRNA	Q12050	Q12050	602717	605092
YPR101W	YPR101W_mRNA	Q06091	A0A8H4F8B3	730492	731019
YPR101W	YPR101W_mRNA	Q06091	Q06091	730492	731019
YPL179W	YPL179W_mRNA	P32945	P32945	208157	209806
YPL179W	YPL179W_mRNA	P32945	A0A6A5Q5J3	208157	209806
YCL024W	YCL024W_mRNA	P25389	P25389	79162	82275
YNL180C	YNL180C_mRNA	P53879	P53879	299654	300649
YNL180C	YNL180C_mRNA	P53879	A0A8H4F953	299654	300649
YLR321C	YLR321C_mRNA	Q06168	A0A6A5PTM8	776584	777864
YLR321C	YLR321C_mRNA	Q06168	Q06168	776584	777864
YPL224C	YPL224C_mRNA	Q08970	A0A8H4BVL8	126634	128088
YPL224C	YPL224C_mRNA	Q08970	Q08970	126634	128088
YOL081W	YOL081W_mRNA	P19158	P19158	171070	180309
YOL081W	YOL081W_mRNA	P19158	A0A8H4BUI4	171070	180309
YNR001C	YNR001C_mRNA	P00890	A0A6A5Q7J3	629622	631061
YNR001C	YNR001C_mRNA	P00890	P00890	629622	631061
YOL052C	YOL052C_mRNA	P21182	A0A6A5Q5U0	232446	233636
YOL052C	YOL052C_mRNA	P21182	P21182	232446	233636
YOR285W	YOR285W_mRNA	Q12305	A0A6A5Q6K3	849635	850054
YOR285W	YOR285W_mRNA	Q12305	Q12305	849635	850054
YIL050W	YIL050W_mRNA	P40186	A0A6L0Z6N5	258913	259770
YIL050W	YIL050W_mRNA	P40186	P40186	258913	259770
YMR268C	YMR268C_mRNA	P49960	P49960	802888	804222
YMR268C	YMR268C_mRNA	P49960	A0A8H4F875	802888	804222
YDL206W	YDL206W_mRNA	Q12424	Q12424	90176	92464
YDL206W	YDL206W_mRNA	Q12424	A0A8H8UM95	90176	92464
YLR327C	YLR327C_mRNA	Q06177	Q06177	783127	783387
YLR327C	YLR327C_mRNA	Q06177	A0A6A5PUF4	783127	783387
YBR119W	YBR119W_mRNA	P32605	P32605	479338	480323
YDR125C	YDR125C_mRNA	Q04623	Q04623	701397	702758
YDR125C	YDR125C_mRNA	Q04623	A0A8H8UN39	701397	702758
YFR052W	YFR052W_mRNA	P32496	P32496	252505	253329
YFR052W	YFR052W_mRNA	P32496	A0A7I9BXZ7	252505	253329
YLR154C-H	YLR154C-H_mRNA	P0CY04	P0CY02	468827	468958
YLR154C-H	YLR154C-H_mRNA	P0CY04	P0CY05	468827	468958
